"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-06-20 23:51:40",,,,,7
"2020-06-21 23:51:40",,,,,,,,,,,,,,,,,,,80
"2020-06-22 23:51:40",,,82,,,,,86,,85,,,89,,,82,,,,,85,84,,,71,78
"2020-06-23 23:51:40",,,,,,,,,,,81
"2020-06-24 23:51:40",,,,,,78
"2020-06-25 23:51:40",,,,,,,,,,,,,,,,,,,86,,,,,31
"2020-06-26 23:51:40",,60
"2020-07-01 23:51:40",,,,,,78
"2020-07-02 23:51:40",,,,,,,65
"2020-07-03 23:51:40",20,,,,,,,,,,,,,,,,,,,,,,,36
"2020-07-05 23:51:40",,,,,,,,,,,,,,,,,,,,,,,79
"2020-07-06 23:51:40",,,82,,,,,86,,85,,,86,,,84,,,,,81,83,,,73,74
"2020-07-07 23:51:40",,60,,,,,,,,,83,,,,,,,90
"2020-07-09 23:51:40",,,,,,,,,,,,,,,,,,,88
"2020-07-12 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,38
"2020-07-13 23:51:40",,,,,,,,,,,,,,,,,75,,,,,,81
"2020-07-14 23:51:40",,,,,,,,,,,85,,,,,,,,,,,,,,78
"2020-07-16 23:51:40",,,,,,79,66,,,,,,,,,,,,86
"2020-07-20 23:51:40",,,80,,,,,,,85,,,85,,,84,,92,,,80,88,,,74,79
"2020-07-21 23:51:40",,74,,,,,,86,,,84,,,,,,,,,,,,80
"2020-07-22 23:51:40",,,,,,83
"2020-07-23 23:51:40",,,,,,,,,82,,,,,,,,,,88
"2020-07-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,57
"2020-07-27 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,77
"2020-07-28 23:51:40",,,,,,,,,,,81
"2020-07-29 23:51:40",,,,,,,,,,,,,,,,,71,,,,,,79
