Date_reported,Australia,Brazil,Canada,China,Denmark,Finland,France,Germany,Hong Kong,India,Indonesia,Italy,Japan,Malaysia,Mexico,Netherlands,Norway,Philippines,Saudi Arabia,Singapore,South Korea,Spain,Sweden,Taiwan,Thailand,UAE,UK,USA,Vietnam
2020-06-24,,,,50.0,36.0,,51.0,,,,,,,,,,,,,,,58.0,,,,,,,
2020-06-25,,,,,,25.0,,33.0,,53.0,84.0,52.0,,,,31.0,,,64.0,,,44.0,46.0,52.0,,60.0,45.0,,78.0
2020-06-26,40.0,,53.0,,,,,,,,,,,80.0,51.0,,,80.0,,,,,,,58.0,,,,
2020-07-02,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,
2020-07-06,,,,57.0,,,,,54.0,,84.0,,,86.0,,,,82.0,,,,,,52.0,65.0,,,58.0,76.0
2020-07-09,45.0,,,,,,48.0,35.0,,50.0,,,,,,,,,,,,44.0,,,,,,,77.0
2020-07-13,,,,,,,,,,,,,,,,,,,69.0,,,,,,,65.0,,,
2020-07-20,,,,56.0,,,,,,,83.0,,,83.0,,,,78.0,,69.0,,,,51.0,70.0,,,58.0,75.0
2020-07-21,,,55.0,,,,,,66.0,,,59.0,,,,,,,,,,,,,,61.0,,,
2020-07-22,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,,,,,,,,,,64.0,,,,,,,,,,,,44.0,,,,,,,
2020-07-28,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,
2020-07-29,,,,,,,,,,,,,,,,,,,67.0,,,,,,,62.0,,,
2020-08-02,52.0,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,
