"Date_reported","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-07-07 0",,60,,,,,,,,,83,,,,,,,90
"2020-07-09 0",,,,,,,,,,,,,,,,,,,88
"2020-07-12 0",,,,,,,,,,,,,,,,,,,,,,,,38
"2020-07-13 0",,,,,,,,,,,,,,,,,75,,,,,,81
"2020-07-14 0",,,,,,,,,,,85,,,,,,,,,,,,,,78
"2020-07-16 0",,,,,,79,66,,,,,,,,,,,,86
"2020-07-20 0",,,80,,,,,,,85,,,85,,,84,,92,,,80,88,,,74,79
"2020-07-21 0",,74,,,,,,86,,,84,,,,,,,,,,,,80
"2020-07-22 0",,,,,,83
"2020-07-23 0",,,,,,,,,82,,,,,,,,,,88
"2020-07-26 0",,,,,,,,,,,,,,,,,,,,,,,,57
"2020-07-27 0",,,,,,,,,,,,,,,,,,,,,,,,,77
"2020-07-28 0",,,,,,,,,,,81
"2020-07-29 0",,,,,,,,,,,,,,,,,71,,,,,,79
